loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,Good vs Bad Loan
Fully Paid,10/11/2021,873188,Car,A1, 36 months,Not Verified,72000,0.2075,223.19,0.0542,7400,23,7556,Good Loan
Fully Paid,1/14/2022,1251828,Car,A1, 36 months,Not Verified,72000,0.1782,152.18,0.0603,5000,37,5478,Good Loan
Fully Paid,11/14/2021,1102391,Car,A1, 36 months,Not Verified,41784,0.1872,152.18,0.0603,5000,22,5478,Good Loan
Fully Paid,11/13/2021,1227382,Car,A1, 36 months,Not Verified,96000,0.238,182.62,0.0603,6000,27,6493,Good Loan
Fully Paid,9/14/2021,1230439,Car,A1, 36 months,Not Verified,54000,0.2407,182.62,0.0603,6000,32,6569,Good Loan
Fully Paid,4/14/2021,863546,Car,A1, 36 months,Not Verified,36000,0.2293,271.44,0.0542,9000,47,9772,Good Loan
Fully Paid,12/14/2021,1103400,Car,A1, 36 months,Not Verified,114000,0.1658,219.14,0.0603,7200,52,7889,Good Loan
Fully Paid,9/13/2021,1078994,Car,A1, 36 months,Not Verified,48000,0.1732,170.41,0.0542,5650,32,6067,Good Loan
Fully Paid,2/12/2021,972180,Car,A2, 36 months,Not Verified,39600,0.1406,182.51,0.0599,6000,32,6194,Good Loan
Fully Paid,9/13/2021,706758,Car,A2, 36 months,Not Verified,108000,0.1976,107.69,0.0676,3500,37,3877,Good Loan
Fully Paid,8/13/2021,699868,Car,A2, 36 months,Not Verified,57431,0.0618,123.07,0.0676,4000,21,4431,Good Loan
Fully Paid,1/14/2022,1234988,Car,A3, 36 months,Not Verified,32468.8,0.2935,186.67,0.0751,6000,16,6714,Good Loan
Fully Paid,12/12/2021,569597,Car,A3, 36 months,Not Verified,26000,0.0429,218.54,0.0774,7000,11,7867,Good Loan
Fully Paid,4/12/2021,556476,Car,A3, 36 months,Not Verified,75000,0.0234,156.1,0.0774,5000,21,5584,Good Loan
Fully Paid,9/14/2021,1257204,Car,A3, 36 months,Not Verified,58000,0.2692,56,0.0751,1800,28,2013,Good Loan
Fully Paid,5/14/2021,891691,Car,A3, 36 months,Not Verified,50000,0.203,308.41,0.0692,10000,32,11103,Good Loan
Fully Paid,3/14/2021,845936,Car,A4, 36 months,Not Verified,48000,0.1988,201.57,0.0729,6500,24,7257,Good Loan
Fully Paid,1/12/2022,969361,Car,A4, 36 months,Not Verified,73000,0.1433,155.51,0.0749,5000,23,5312,Good Loan
Fully Paid,12/12/2021,1031607,Car,A4, 36 months,Not Verified,68000,0.0286,248.82,0.0749,8000,13,8615,Good Loan
Fully Paid,7/14/2021,961964,Car,A4, 36 months,Not Verified,112992,0.1825,248.82,0.0749,8000,25,8957,Good Loan
Fully Paid,5/12/2021,425903,Car,A4, 36 months,Not Verified,135000,0.0518,255.58,0.0932,8000,14,9201,Good Loan
Fully Paid,3/13/2021,615502,Car,A4, 36 months,Not Verified,75181,0.1831,186.66,0.0751,6000,30,6720,Good Loan
Fully Paid,10/14/2021,1079988,Car,A4, 36 months,Not Verified,110400,0.1916,93.31,0.0749,3000,41,3359,Good Loan
Fully Paid,6/12/2021,432897,Car,A5, 36 months,Not Verified,48000,0.1257,481.42,0.0963,15000,31,17331,Good Loan
Fully Paid,1/11/2022,596861,Car,A1, 36 months,Not Verified,54000,0.0267,268.83,0.0705,8700,15,9538,Good Loan
Fully Paid,6/14/2021,928926,Car,A1, 36 months,Not Verified,85000,0.04,168.9,0.0542,5600,36,6080,Good Loan
Fully Paid,1/13/2022,805177,Car,A3, 36 months,Not Verified,36000,0.1997,54.9,0.0617,1800,21,1977,Good Loan
Fully Paid,9/14/2021,1053506,Car,A4, 36 months,Not Verified,36000,0.1883,217.72,0.0749,7000,13,7838,Good Loan
Fully Paid,10/13/2021,725950,Car,A1, 36 months,Not Verified,120000,0.052,140.76,0.0639,4600,42,5068,Good Loan
Fully Paid,4/10/2021,582432,Car,A2, 36 months,Not Verified,60000,0.1004,62.12,0.074,2000,14,2036,Good Loan
Fully Paid,7/14/2021,1281883,Car,A2, 36 months,Not Verified,62352,0.1207,116.68,0.0662,3800,24,4187,Good Loan
Fully Paid,5/14/2021,903454,Car,A2, 36 months,Not Verified,54000,0.1129,151.64,0.0579,5000,20,5459,Good Loan
Fully Paid,3/10/2021,426115,Car,A3, 36 months,Not Verified,60000,0.0036,313.37,0.08,10000,11,10513,Good Loan
Fully Paid,1/14/2022,1255698,Car,A1, 36 months,Not Verified,66000,0.0118,91.31,0.0603,3000,23,3287,Good Loan
Fully Paid,9/11/2021,595343,Car,A1, 36 months,Not Verified,241875,0.064,494.4,0.0705,16000,24,17370,Good Loan
Fully Paid,10/14/2021,1087835,Car,A1, 36 months,Not Verified,24000,0.067,39.21,0.0542,1300,46,1411,Good Loan
Fully Paid,4/11/2021,709388,Car,A2, 36 months,Not Verified,96000,0.0829,138.46,0.0676,4500,28,4613,Good Loan
Fully Paid,12/11/2021,370608,Car,A3, 36 months,Not Verified,90000,0.0428,156.69,0.08,5000,12,5641,Good Loan
Fully Paid,6/12/2021,442237,Car,A3, 36 months,Not Verified,81804,0.0898,282.03,0.08,9000,30,10153,Good Loan
Fully Paid,3/12/2021,546914,Car,A4, 36 months,Not Verified,28880,0.1596,63.23,0.0859,2000,12,2260,Good Loan
Fully Paid,11/14/2021,1104233,Car,A1, 36 months,Not Verified,51000,0.1753,121.75,0.0603,4000,15,4383,Good Loan
Fully Paid,9/14/2021,1044500,Car,A1, 36 months,Not Verified,49000,0.0585,105.56,0.0542,3500,16,3800,Good Loan
Fully Paid,8/14/2021,1009793,Car,A1, 36 months,Not Verified,42000,0.044,180.96,0.0542,6000,31,6515,Good Loan
Fully Paid,5/11/2021,574859,Car,A2, 36 months,Not Verified,50000,0.0317,155.3,0.074,5000,32,5398,Good Loan
Fully Paid,3/13/2021,642219,Car,A3, 36 months,Not Verified,85000,0.0329,247.52,0.0714,8000,32,8906,Good Loan
Fully Paid,6/10/2021,496234,Car,A4, 36 months,Not Verified,50000,0.0833,95.85,0.0932,3000,28,3189,Good Loan
Fully Paid,8/13/2021,1271153,Car,A4, 36 months,Not Verified,139200,0.2009,187.75,0.079,6000,31,6395,Good Loan
Fully Paid,4/14/2021,884942,Car,A1, 36 months,Not Verified,57600,0.0725,120.64,0.0542,4000,24,4343,Good Loan
Fully Paid,4/13/2021,914846,Car,A3, 36 months,Not Verified,37459,0.0061,172.71,0.0692,5600,8,6130,Good Loan
Fully Paid,12/11/2021,368318,Car,A3, 36 months,Not Verified,58500,0.0507,125.35,0.08,4000,19,4512,Good Loan
Fully Paid,10/11/2021,861281,Car,A4, 36 months,Not Verified,60000,0.014,94.59,0.0729,3050,12,3170,Good Loan
Fully Paid,3/14/2021,853863,Car,A1, 36 months,Not Verified,65000,0.1429,180.96,0.0542,6000,33,6515,Good Loan
Fully Paid,1/13/2022,901168,Car,A3, 36 months,Not Verified,72000,0.0217,154.21,0.0692,5000,11,5543,Good Loan
Fully Paid,12/13/2021,780895,Car,A5, 36 months,Not Verified,123000,0.234,280.61,0.0691,15000,50,10102,Good Loan
Fully Paid,3/13/2021,826524,Car,A1, 36 months,Not Verified,110000,0.0524,235.25,0.0542,7800,27,8388,Good Loan
Fully Paid,6/12/2021,987587,Car,A1, 36 months,Not Verified,48000,0.109,135.72,0.0542,4500,28,4680,Good Loan
Fully Paid,10/14/2021,1076434,Car,A2, 36 months,Not Verified,77040,0.205,179.47,0.0599,5900,30,6461,Good Loan
Fully Paid,9/14/2021,1040609,Car,A4, 36 months,Not Verified,60000,0.2712,62.21,0.0749,2000,31,2239,Good Loan
Fully Paid,3/13/2021,922378,Car,A4, 36 months,Not Verified,40560,0.0737,93.03,0.0729,3000,47,3292,Good Loan
Fully Paid,6/14/2021,948842,Car,A1, 36 months,Not Verified,60000,0.15,108.58,0.0542,3600,41,3909,Good Loan
Fully Paid,1/14/2022,1269489,Car,A1, 36 months,Not Verified,54960,0.1085,167.4,0.0603,5500,15,6026,Good Loan
Fully Paid,5/13/2021,920343,Car,A5, 36 months,Not Verified,84000,0.1734,183.97,0.0766,5900,31,6534,Good Loan
Fully Paid,7/14/2021,959469,Car,A1, 36 months,Not Verified,65000,0.1927,120.64,0.0542,4000,20,4343,Good Loan
Fully Paid,5/12/2021,421436,Car,A1, 36 months,Not Verified,50004,0.101,372.55,0.0737,12000,31,13412,Good Loan
Fully Paid,4/13/2021,565159,Car,A5, 36 months,Not Verified,52000,0.0909,312.81,0.0788,10000,20,11277,Good Loan
Fully Paid,1/14/2022,1260425,Car,A1, 36 months,Not Verified,115000,0.0271,121.75,0.0603,4000,22,4383,Good Loan
Fully Paid,7/10/2021,436823,Car,A3, 36 months,Not Verified,99996,0.0432,250.69,0.08,8000,18,8551,Good Loan
Fully Paid,8/14/2021,1015737,Car,A1, 36 months,Not Verified,60000,0.2096,150.8,0.0542,5000,34,5429,Good Loan
Fully Paid,1/14/2022,1274416,Car,A2, 36 months,Not Verified,45000,0.1632,92.12,0.0662,3000,23,3316,Good Loan
Fully Paid,4/14/2021,888953,Car,A4, 36 months,Not Verified,40000,0.1041,124.04,0.0729,4000,12,4465,Good Loan
Fully Paid,7/14/2021,957278,Car,A5, 36 months,Not Verified,55000,0.1647,252.51,0.0849,8000,27,9090,Good Loan
Fully Paid,5/14/2021,906743,Car,A5, 36 months,Not Verified,72000,0.1887,65.48,0.0766,2100,39,2357,Good Loan
Fully Paid,2/13/2021,596860,Car,A1, 36 months,Not Verified,75000,0.0173,247.2,0.0705,8000,24,8900,Good Loan
Fully Paid,7/14/2021,965621,Car,A1, 36 months,Not Verified,85000,0.0476,180.96,0.0542,6000,22,6515,Good Loan
Fully Paid,3/13/2021,711857,Car,A2, 36 months,Not Verified,70000,0.101,135.38,0.0676,4400,15,4858,Good Loan
Fully Paid,3/14/2021,855127,Car,A2, 36 months,Not Verified,48000,0.104,150.88,0.0579,4975,11,5432,Good Loan
Fully Paid,9/12/2021,656465,Car,A2, 36 months,Not Verified,73400,0.0281,64.62,0.0676,2100,28,2306,Good Loan
Fully Paid,11/11/2021,913732,Car,A2, 36 months,Not Verified,68800,0.1387,145.57,0.0579,4800,46,4930,Good Loan
Fully Paid,2/13/2021,899636,Car,A2, 36 months,Not Verified,40000,0.0885,121.31,0.0579,4000,31,4299,Good Loan
Fully Paid,8/14/2021,992748,Car,A2, 36 months,Not Verified,65500,0.2255,91.26,0.0599,3000,34,3285,Good Loan
Fully Paid,9/11/2021,766903,Car,A2, 36 months,Not Verified,52800,0.1527,59.23,0.0676,1925,43,2013,Good Loan
Fully Paid,11/14/2021,1211442,Car,A3, 36 months,Not Verified,60000,0.0858,248.89,0.0751,8000,52,8936,Good Loan
Fully Paid,3/14/2021,845559,Car,A1, 36 months,Not Verified,105000,0.0514,150.8,0.0542,5000,20,5429,Good Loan
Fully Paid,4/12/2021,1236893,Car,A1, 36 months,Not Verified,60000,0.1446,45.66,0.0603,1500,35,1529,Good Loan
Fully Paid,8/13/2021,616593,Car,A1, 36 months,Not Verified,52000,0.1452,146.88,0.0639,4800,28,5288,Good Loan
Fully Paid,6/11/2021,625184,Car,A5, 36 months,Not Verified,69000,0.2297,344.09,0.0788,11000,59,11796,Good Loan
Fully Paid,9/13/2021,1251195,Car,A2, 36 months,Not Verified,76800,0.1034,184.23,0.0662,6000,27,6514,Good Loan
Fully Paid,1/14/2022,1256261,Car,A2, 36 months,Not Verified,70000,0.2038,237.96,0.0662,7750,26,8566,Good Loan
Fully Paid,1/12/2022,585294,Car,A2, 36 months,Not Verified,60000,0.1276,139.77,0.074,4500,33,5032,Good Loan
Fully Paid,3/14/2021,934676,Car,A3, 36 months,Not Verified,99400,0.089,185.05,0.0692,6000,38,6655,Good Loan
Fully Paid,9/14/2021,1049845,Car,A2, 36 months,Not Verified,96000,0.016,292.01,0.0599,9600,11,10512,Good Loan
Fully Paid,2/14/2021,825145,Car,A2, 36 months,Not Verified,95000,0.0728,242.62,0.0579,8000,43,8734,Good Loan
Fully Paid,6/13/2021,660596,Car,A3, 36 months,Not Verified,45000,0.048,46.41,0.0714,1500,29,1671,Good Loan
Fully Paid,8/14/2021,1050351,Car,A1, 36 months,Not Verified,60000,0.0188,60.32,0.0542,2000,29,2171,Good Loan
Fully Paid,2/13/2021,593497,Car,A2, 36 months,Not Verified,72000,0.2152,496.95,0.074,16000,23,17890,Good Loan
Fully Paid,8/14/2021,1017727,Car,A3, 36 months,Not Verified,80000,0.1452,154.37,0.0699,5000,20,5557,Good Loan
Fully Paid,2/13/2021,759924,Car,A4, 36 months,Not Verified,38400,0.1072,186.67,0.0751,6000,13,6641,Good Loan
Fully Paid,9/11/2021,624789,Car,A4, 36 months,Not Verified,52000,0.1048,121.33,0.0751,3900,12,4168,Good Loan
Fully Paid,7/12/2021,650279,Car,A4, 36 months,Not Verified,100000,0.0803,342.21,0.0751,11000,36,12106,Good Loan
Fully Paid,2/14/2021,817666,Car,A1, 36 months,Not Verified,70000,0.0807,180.96,0.0542,6000,45,6515,Good Loan
Fully Paid,2/14/2021,815592,Car,A2, 36 months,Not Verified,51000,0.0137,181.97,0.0579,6000,10,6551,Good Loan
Fully Paid,12/13/2021,1027019,Car,A2, 36 months,Not Verified,41664,0.1529,121.67,0.0599,4000,26,4254,Good Loan
Fully Paid,11/12/2021,773056,Car,A5, 36 months,Not Verified,97000,0.1018,252.86,0.0691,12975,12,8921,Good Loan
Fully Paid,7/14/2021,977451,Car,A1, 36 months,Not Verified,68000,0.0145,90.48,0.0542,3000,25,3257,Good Loan
Fully Paid,11/12/2021,423921,Car,A2, 36 months,Not Verified,52700,0.1724,124.24,0.074,4000,18,4472,Good Loan
Fully Paid,2/12/2021,1037146,Car,A2, 36 months,Not Verified,55000,0.1462,91.26,0.0599,3000,39,3071,Good Loan
Fully Paid,12/9/2021,541920,Car,A3, 36 months,Not Verified,45000,0.1139,185.76,0.0774,5950,18,5989,Good Loan
Fully Paid,6/12/2021,612600,Car,A4, 36 months,Not Verified,58000,0.0989,298.65,0.0751,9600,11,10669,Good Loan
Fully Paid,6/12/2021,1222660,Car,A3, 36 months,Not Verified,80796,0.1019,155.56,0.0751,5000,29,5061,Good Loan
Fully Paid,7/14/2021,1108628,Car,A4, 36 months,Not Verified,30000,0.092,159.59,0.079,5100,23,5734,Good Loan
Fully Paid,5/13/2021,948466,Car,A3, 36 months,Not Verified,73440,0.0559,216.11,0.0699,7000,11,7670,Good Loan
Fully Paid,9/11/2021,356975,Car,A4, 36 months,Not Verified,26796,0.0658,78.72,0.0832,3000,15,2834,Good Loan
Fully Paid,2/12/2021,1262713,Car,A5, 36 months,Not Verified,47500,0.1976,111.14,0.089,3500,34,3526,Good Loan
Fully Paid,9/11/2021,538542,Car,A3, 36 months,Not Verified,79000,0.0317,218.54,0.0774,7000,22,7724,Good Loan
Fully Paid,12/11/2021,1104499,Car,A2, 36 months,Not Verified,49536,0.0908,159.66,0.0662,5200,29,5229,Good Loan
Fully Paid,9/12/2021,997991,Car,A2, 36 months,Not Verified,96000,0.1465,127.76,0.0599,4200,20,4430,Good Loan
Fully Paid,3/13/2021,979595,Car,A3, 36 months,Not Verified,69600,0.131,37.05,0.0699,1200,22,1305,Good Loan
Fully Paid,11/12/2021,1201393,Car,A1, 36 months,Not Verified,84554.16,0.1524,109.57,0.0603,3600,32,3768,Good Loan
Fully Paid,11/11/2021,849849,Car,A1, 36 months,Not Verified,90000,0.1035,90.48,0.0542,3000,30,3099,Good Loan
Fully Paid,6/13/2021,658773,Car,A2, 36 months,Not Verified,85000,0.1276,123.08,0.0676,4000,27,4431,Good Loan
Fully Paid,10/13/2021,743854,Car,A5, 36 months,Not Verified,35100,0.1593,145.46,0.0788,4650,10,5237,Good Loan
Fully Paid,7/14/2021,1000505,Car,A5, 36 months,Not Verified,45600,0.1605,45.77,0.0849,1450,18,1647,Good Loan
Fully Paid,7/12/2021,844598,Car,A3, 36 months,Not Verified,81504,0.2488,74.02,0.0692,2400,27,2572,Good Loan
Fully Paid,4/13/2021,1064045,Car,A4, 36 months,Not Verified,97000,0.0878,186.61,0.0749,6000,20,6527,Good Loan
Fully Paid,8/12/2021,694760,Car,A3, 36 months,Not Verified,57000,0.1166,216.59,0.0714,7000,30,7699,Good Loan
Fully Paid,2/12/2021,535793,Car,A3, 36 months,Not Verified,102996,0.1547,249.75,0.0774,8000,30,8934,Good Loan
Fully Paid,10/12/2021,963690,Car,A2, 36 months,Not Verified,60000,0.026,228.14,0.0599,7500,30,7911,Good Loan
Fully Paid,12/11/2021,791294,Car,A2, 36 months,Not Verified,66560,0.0757,127.38,0.0579,4200,29,4394,Good Loan
Fully Paid,4/13/2021,1230821,Car,A2, 36 months,Not Verified,124800,0.1124,153.52,0.0662,5000,25,5182,Good Loan
Fully Paid,2/12/2021,763931,Car,A2, 36 months,Not Verified,120000,0.211,184.61,0.0676,6000,63,6416,Good Loan
Fully Paid,4/13/2021,743084,Car,A4, 36 months,Not Verified,97200,0.0877,171.11,0.0751,5500,26,6138,Good Loan
Fully Paid,3/12/2021,451034,Car,A5, 36 months,Not Verified,100000,0.096,142.98,0.0894,4500,49,5125,Good Loan
